x,y,s1,s2,s3,s4,s5,s6,aftershock
285976.1398252601,-2664456.3425872736,-7725.907508657917,-1370.9629647887682,-2504.8083032066893,-5288.227088281623,-5311.21416817951,-3163.7069222614355,0.0
290976.1398252601,-2664456.3425872736,-8011.219112372744,-1558.0048386985486,-2897.599976823475,-5427.461489304635,-5646.679014269096,-3284.730193441403,0.0
295976.1398252601,-2664456.3425872736,-8284.078454916282,-1730.64155193453,-3308.981852697936,-5543.896855253116,-5968.410944911905,-3386.115863421259,0.0
300976.1398252601,-2664456.3425872736,-8545.000108984546,-1885.7668886931103,-3733.634959159037,-5635.522889487616,-6269.28919036727,-3463.6640165806434,0.0
305976.1398252601,-2664456.3425872736,-8795.001795517372,-2021.092550733783,-4165.326218682857,-5700.977425768441,-6541.710740263579,-3513.284910104315,0.0
310976.1398252601,-2664456.3425872736,-9035.346248569696,-2135.373492529446,-4597.315989182535,-5739.695338282006,-6777.8010628514985,-3531.177339383225,0.0
315976.1398252601,-2664456.3425872736,-9267.16950618933,-2228.470988713614,-5022.890244598188,-5752.034763212326,-6969.67408186707,-3514.032452712578,0.0
320976.1398252601,-2664456.3425872736,-9491.05348632298,-2301.1873337817883,-5435.923057946256,-5739.370564481646,-7109.735172954548,-3459.2651530749336,0.0
325976.1398252601,-2664456.3425872736,-9706.63131455104,-2354.8386889047947,-5831.325895031262,-5704.14266960963,-7191.015691459442,-3365.2740502643533,0.0
330976.1398252601,-2664456.3425872736,-9912.335770520562,-2390.5963518060576,-6205.221932260056,-5649.850349455236,-7207.52523976778,-3231.7239176030785,0.0
335976.1398252601,-2664456.3425872736,-10105.394533834931,-2408.697012296508,-6554.707912757883,-5580.983678465923,-7154.608141271915,-3059.837821332087,0.0
340976.1398252601,-2664456.3425872736,-10282.140577717388,-2407.6868798043824,-6877.125536613316,-5502.887966042109,-7029.293159815908,-2852.672957807391,0.0
345976.1398252601,-2664456.3425872736,-10438.645218767906,-2383.8995132641653,-7168.87119487834,-5421.553734487036,-6830.624569998978,-2615.3413345131867,0.0
350976.1398252601,-2664456.3425872736,-10571.607972884674,-2331.365370173392,-7423.896042228883,-5343.327996620904,-6559.956932185054,-2355.126166971442,0.0
355976.1398252601,-2664456.3425872736,-10679.362907620436,-2242.2961067427523,-7632.155485741342,-5274.5440339381885,-6221.192228485535,-2081.440265041921,0.0
360976.1398252601,-2664456.3425872736,-10762.81369863631,-2108.196598865692,-7778.3465018532415,-5221.0739168343325,-5820.9269007427365,-1805.5764096000769,0.0
365976.1398252601,-2664456.3425872736,-10826.085146619738,-1921.537066908504,-7841.288717426751,-5187.820074984863,-5368.461669962139,-1540.220087336338,0.0
370976.1398252601,-2664456.3425872736,-10876.701803837466,-1677.7950253769973,-7794.252084311704,-5178.1763846522845,-4875.626305682494,-1298.719868750384,0.0
375976.1398252601,-2664456.3425872736,-10925.159765008686,-1377.5701556508502,-7606.41423942028,-5193.511694576275,-4356.371809116708,-1094.1494514602812,0.0
380976.1398252601,-2664456.3425872736,-10983.850447842147,-1028.4136090834445,-7245.464322823362,-5232.743020776408,-3826.1018930151386,-938.2370886609024,0.0
385976.1398252601,-2664456.3425872736,-11065.39482255046,-645.9988002242555,-6681.170302309987,-5292.0785541206,-3300.744690728961,-840.269324475047,0.0
390976.1398252601,-2664456.3425872736,-11180.564688765286,-254.30999037098127,-5889.533730787278,-5365.012002540049,-2795.608270436586,-806.0999419497955,0.0
395976.1398252601,-2664456.3425872736,-11336.06234572748,115.36769415801,-4856.997559566469,-5442.632899571515,-2324.121542554198,-837.4021459333405,0.0
400976.1398252601,-2664456.3425872736,-11532.509559653194,426.7150589579069,-3584.065344797438,-5514.283274480283,-1896.601921241316,-931.2780416016932,0.0
405976.1398252601,-2664456.3425872736,-11763.030588752834,641.753322662169,-2087.6789404532733,-5568.543466441292,-1519.2322395870026,-1080.3044182324934,0.0
